Area_name,STCOU,PST015171F,PST015171D,PST015171N1,PST015171N2,PST015172F,PST015172D,PST015172N1,PST015172N2,PST015173F,PST015173D,PST015173N1,PST015173N2,PST015174F,PST015174D,PST015174N1,PST015174N2,PST015175F,PST015175D,PST015175N1,PST015175N2,PST015176F,PST015176D,PST015176N1,PST015176N2,PST015177F,PST015177D,PST015177N1,PST015177N2,PST015178F,PST015178D,PST015178N1,PST015178N2,PST015179F,PST015179D,PST015179N1,PST015179N2,PST025181F,PST025181D,PST025181N1,PST025181N2
UNITED STATES,0,0,206827028,0,0,0,209283904,0,0,0,211357490,0,0,0,213341552,0,0,0,215465246,0,0,0,217562728,0,0,0,219759860,0,0,0,222095080,0,0,0,224567234,0,0,0,229466391,0,0
ALABAMA,1000,0,3497452,0,0,0,3540080,0,0,0,3580769,0,0,0,3627805,0,0,0,3680533,0,0,0,3737204,0,0,0,3782736,0,0,0,3834120,0,0,0,3869444,0,0,0,3918526,0,0
"Autauga, AL",1001,0,25508,0,0,0,27166,0,0,0,28463,0,0,0,29266,0,0,0,29718,0,0,0,29896,0,0,0,30462,0,0,0,30882,0,0,0,32055,0,0,0,31985,0,0
"Baldwin, AL",1003,0,60141,0,0,0,62435,0,0,0,64195,0,0,0,66071,0,0,0,67860,0,0,0,70243,0,0,0,72398,0,0,0,74549,0,0,0,76593,0,0,0,80292,0,0
"Barbour, AL",1005,0,23092,0,0,0,22854,0,0,0,23457,0,0,0,23432,0,0,0,24869,0,0,0,25609,0,0,0,24690,0,0,0,24524,0,0,0,24429,0,0,0,24744,0,0
"Bibb, AL",1007,0,13919,0,0,0,14097,0,0,0,14654,0,0,0,14391,0,0,0,14778,0,0,0,14763,0,0,0,15257,0,0,0,15355,0,0,0,15550,0,0,0,15835,0,0
"Blount, AL",1009,0,27817,0,0,0,29296,0,0,0,30357,0,0,0,31537,0,0,0,32219,0,0,0,33048,0,0,0,34219,0,0,0,34845,0,0,0,35959,0,0,0,36642,0,0
"Bullock, AL",1011,0,11418,0,0,0,11443,0,0,0,11274,0,0,0,11141,0,0,0,11097,0,0,0,11112,0,0,0,11015,0,0,0,10954,0,0,0,10799,0,0,0,10680,0,0
"Butler, AL",1013,0,21846,0,0,0,21530,0,0,0,21237,0,0,0,21160,0,0,0,21169,0,0,0,21351,0,0,0,20872,0,0,0,20911,0,0,0,21204,0,0,0,22183,0,0
"Calhoun, AL",1015,0,103621,0,0,0,103845,0,0,0,105026,0,0,0,105916,0,0,0,107004,0,0,0,112767,0,0,0,112800,0,0,0,116473,0,0,0,116741,0,0,0,120818,0,0
"Chambers, AL",1017,0,36280,0,0,0,36087,0,0,0,36961,0,0,0,37534,0,0,0,37537,0,0,0,37943,0,0,0,38368,0,0,0,38734,0,0,0,39303,0,0,0,39386,0,0
"Cherokee, AL",1019,0,16522,0,0,0,16860,0,0,0,17242,0,0,0,17661,0,0,0,18068,0,0,0,18556,0,0,0,18435,0,0,0,18590,0,0,0,18644,0,0,0,19309,0,0
"Chilton, AL",1021,0,25630,0,0,0,26442,0,0,0,27241,0,0,0,27932,0,0,0,28558,0,0,0,29051,0,0,0,29317,0,0,0,29926,0,0,0,30472,0,0,0,30703,0,0
"Choctaw, AL",1023,0,16516,0,0,0,16689,0,0,0,16996,0,0,0,16819,0,0,0,17226,0,0,0,17448,0,0,0,17329,0,0,0,16931,0,0,0,16909,0,0,0,16672,0,0
"Clarke, AL",1025,0,25876,0,0,0,26280,0,0,0,26544,0,0,0,26907,0,0,0,27385,0,0,0,27850,0,0,0,28225,0,0,0,28360,0,0,0,27646,0,0,0,28127,0,0
"Clay, AL",1027,0,12926,0,0,0,13240,0,0,0,12959,0,0,0,13139,0,0,0,13165,0,0,0,13381,0,0,0,13330,0,0,0,13697,0,0,0,13895,0,0,0,13864,0,0
"Cleburne, AL",1029,0,11165,0,0,0,11384,0,0,0,11654,0,0,0,11839,0,0,0,11985,0,0,0,12055,0,0,0,12086,0,0,0,12217,0,0,0,12559,0,0,0,12797,0,0
"Coffee, AL",1031,0,36396,0,0,0,36171,0,0,0,35648,0,0,0,35507,0,0,0,36451,0,0,0,36960,0,0,0,37355,0,0,0,37450,0,0,0,37849,0,0,0,39694,0,0
"Colbert, AL",1033,0,50386,0,0,0,50720,0,0,0,51277,0,0,0,50778,0,0,0,52084,0,0,0,52053,0,0,0,53133,0,0,0,53322,0,0,0,54096,0,0,0,54723,0,0
"Conecuh, AL",1035,0,15788,0,0,0,15796,0,0,0,15702,0,0,0,15518,0,0,0,15794,0,0,0,15516,0,0,0,15435,0,0,0,15811,0,0,0,15933,0,0,0,15629,0,0
"Coosa, AL",1037,0,10720,0,0,0,10852,0,0,0,11408,0,0,0,11470,0,0,0,11469,0,0,0,11240,0,0,0,11516,0,0,0,11652,0,0,0,11630,0,0,0,11448,0,0
"Covington, AL",1039,0,34607,0,0,0,34986,0,0,0,35341,0,0,0,36050,0,0,0,36193,0,0,0,36245,0,0,0,36264,0,0,0,36492,0,0,0,37084,0,0,0,36937,0,0
"Crenshaw, AL",1041,0,13363,0,0,0,13504,0,0,0,13943,0,0,0,14032,0,0,0,13853,0,0,0,13912,0,0,0,13927,0,0,0,13909,0,0,0,14084,0,0,0,14143,0,0
