Area_name,STCOU,PST025182F,PST025182D,PST025182N1,PST025182N2,PST025183F,PST025183D,PST025183N1,PST025183N2,PST025184F,PST025184D,PST025184N1,PST025184N2,PST025185F,PST025185D,PST025185N1,PST025185N2,PST025186F,PST025186D,PST025186N1,PST025186N2,PST025187F,PST025187D,PST025187N1,PST025187N2,PST025188F,PST025188D,PST025188N1,PST025188N2,PST025189F,PST025189D,PST025189N1,PST025189N2,PST030190F,PST030190D,PST030190N1,PST030190N2,PST035190F,PST035190D,PST035190N1,PST035190N2
UNITED STATES,0,0,231665106,0,0,0,233792697,0,0,0,235825544,0,0,0,237924311,0,0,0,240133472,0,0,0,242289738,0,0,0,244499776,0,0,0,246819839,0,0,0,248790925,0,0,0,249622814,0,0
ALABAMA,1000,0,3925328,0,0,0,3934100,0,0,0,3951766,0,0,0,3972539,0,0,0,3991552,0,0,0,4015266,0,0,0,4023902,0,0,0,4030239,0,0,0,4040389,0,0,0,4050055,0,0
"Autauga, AL",1001,0,32038,0,0,0,32057,0,0,0,32130,0,0,0,32248,0,0,0,32895,0,0,0,33266,0,0,0,33637,0,0,0,33996,0,0,0,34222,0,0,0,34353,0,0
"Baldwin, AL",1003,0,82330,0,0,0,83980,0,0,0,86753,0,0,0,89403,0,0,0,91308,0,0,0,93214,0,0,0,94652,0,0,0,96203,0,0,0,98280,0,0,0,98955,0,0
"Barbour, AL",1005,0,24775,0,0,0,24796,0,0,0,24954,0,0,0,25001,0,0,0,24942,0,0,0,25105,0,0,0,25231,0,0,0,25337,0,0,0,25417,0,0,0,25505,0,0
"Bibb, AL",1007,0,16017,0,0,0,16001,0,0,0,16090,0,0,0,16156,0,0,0,15919,0,0,0,16163,0,0,0,16137,0,0,0,16358,0,0,0,16598,0,0,0,16697,0,0
"Blount, AL",1009,0,36356,0,0,0,36427,0,0,0,36790,0,0,0,37417,0,0,0,37996,0,0,0,38017,0,0,0,38248,0,0,0,38771,0,0,0,39248,0,0,0,39473,0,0
"Bullock, AL",1011,0,10639,0,0,0,10686,0,0,0,10823,0,0,0,10779,0,0,0,10458,0,0,0,10893,0,0,0,11180,0,0,0,11171,0,0,0,11042,0,0,0,11032,0,0
"Butler, AL",1013,0,22399,0,0,0,22386,0,0,0,22440,0,0,0,22425,0,0,0,22340,0,0,0,22406,0,0,0,22210,0,0,0,22038,0,0,0,21892,0,0,0,21886,0,0
"Calhoun, AL",1015,0,122114,0,0,0,121249,0,0,0,121738,0,0,0,118646,0,0,0,117699,0,0,0,118096,0,0,0,117268,0,0,0,116378,0,0,0,116032,0,0,0,116118,0,0
"Chambers, AL",1017,0,39337,0,0,0,39261,0,0,0,39071,0,0,0,38613,0,0,0,37982,0,0,0,37752,0,0,0,37383,0,0,0,37209,0,0,0,36876,0,0,0,36884,0,0
"Cherokee, AL",1019,0,19529,0,0,0,19136,0,0,0,18986,0,0,0,18891,0,0,0,18985,0,0,0,19229,0,0,0,19518,0,0,0,19465,0,0,0,19543,0,0,0,19643,0,0
