Area_name,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
UNITED STATES,0,0,282171957,0,0,0,285081556,0,0,0,287803914,0,0,0,290326418,0,0,0,293045739,0,0,0,295753151,0,0,0,298593212,0,0,0,301579895,0,0,0,304374846,0,0,0,307006550,0,0
ALABAMA,1000,0,4451849,0,0,0,4464034,0,0,0,4472420,0,0,0,4490591,0,0,0,4512190,0,0,0,4545049,0,0,0,4597688,0,0,0,4637904,0,0,0,4677464,0,0,0,4708708,0,0
"Autauga, AL",1001,0,43872,0,0,0,44434,0,0,0,45157,0,0,0,45762,0,0,0,46933,0,0,0,47870,0,0,0,49105,0,0,0,49834,0,0,0,50354,0,0,0,50756,0,0
"Baldwin, AL",1003,0,141358,0,0,0,144988,0,0,0,148141,0,0,0,151707,0,0,0,156573,0,0,0,162564,0,0,0,168516,0,0,0,172815,0,0,0,176212,0,0,0,179878,0,0
"Barbour, AL",1005,0,29035,0,0,0,29223,0,0,0,29289,0,0,0,29480,0,0,0,29458,0,0,0,29452,0,0,0,29556,0,0,0,29736,0,0,0,29836,0,0,0,29737,0,0
"Bibb, AL",1007,0,19936,0,0,0,20942,0,0,0,20983,0,0,0,21037,0,0,0,21208,0,0,0,21375,0,0,0,21285,0,0,0,21485,0,0,0,21589,0,0,0,21587,0,0
"Blount, AL",1009,0,51181,0,0,0,51999,0,0,0,52775,0,0,0,53726,0,0,0,54469,0,0,0,55035,0,0,0,55978,0,0,0,56866,0,0,0,57794,0,0,0,58345,0,0
"Bullock, AL",1011,0,11604,0,0,0,11381,0,0,0,11261,0,0,0,11305,0,0,0,11038,0,0,0,10975,0,0,0,10739,0,0,0,10966,0,0,0,10921,0,0,0,10985,0,0
"Butler, AL",1013,0,21313,0,0,0,21036,0,0,0,20607,0,0,0,20536,0,0,0,20476,0,0,0,20338,0,0,0,20231,0,0,0,20243,0,0,0,20171,0,0,0,19964,0,0
"Calhoun, AL",1015,0,111342,0,0,0,111019,0,0,0,110860,0,0,0,111378,0,0,0,111615,0,0,0,112081,0,0,0,112453,0,0,0,112808,0,0,0,113422,0,0,0,114081,0,0
"Chambers, AL",1017,0,36593,0,0,0,36281,0,0,0,35952,0,0,0,35626,0,0,0,35387,0,0,0,35173,0,0,0,34822,0,0,0,34731,0,0,0,34473,0,0,0,34320,0,0
"Cherokee, AL",1019,0,24053,0,0,0,24078,0,0,0,24143,0,0,0,24159,0,0,0,24291,0,0,0,24268,0,0,0,24531,0,0,0,24474,0,0,0,24413,0,0,0,24448,0,0
"Chilton, AL",1021,0,39781,0,0,0,40030,0,0,0,40460,0,0,0,40776,0,0,0,41170,0,0,0,41510,0,0,0,41821,0,0,0,42362,0,0,0,42696,0,0,0,42971,0,0
"Choctaw, AL",1023,0,15850,0,0,0,15652,0,0,0,15342,0,0,0,15168,0,0,0,14894,0,0,0,14507,0,0,0,14389,0,0,0,14178,0,0,0,14083,0,0,0,13990,0,0
"Clarke, AL",1025,0,27833,0,0,0,27634,0,0,0,27273,0,0,0,27076,0,0,0,26944,0,0,0,26740,0,0,0,26729,0,0,0,26416,0,0,0,26264,0,0,0,26042,0,0
"Clay, AL",1027,0,14264,0,0,0,14257,0,0,0,14173,0,0,0,14066,0,0,0,13939,0,0,0,13847,0,0,0,13777,0,0,0,13772,0,0,0,13807,0,0,0,13640,0,0
"Cleburne, AL",1029,0,14156,0,0,0,14196,0,0,0,14376,0,0,0,14378,0,0,0,14264,0,0,0,14276,0,0,0,14433,0,0,0,14692,0,0,0,14736,0,0,0,14759,0,0
"Coffee, AL",1031,0,43540,0,0,0,43581,0,0,0,43759,0,0,0,44186,0,0,0,44712,0,0,0,45159,0,0,0,45639,0,0,0,46806,0,0,0,47773,0,0,0,48635,0,0
"Colbert, AL",1033,0,55024,0,0,0,54841,0,0,0,54594,0,0,0,54319,0,0,0,54427,0,0,0,54399,0,0,0,54462,0,0,0,54606,0,0,0,54626,0,0,0,54639,0,0
"Conecuh, AL",1035,0,14040,0,0,0,13894,0,0,0,13699,0,0,0,13436,0,0,0,13238,0,0,0,13176,0,0,0,13309,0,0,0,13118,0,0,0,13038,0,0,0,12931,0,0
"Coosa, AL",1037,0,11843,0,0,0,11746,0,0,0,11539,0,0,0,11423,0,0,0,11156,0,0,0,10964,0,0,0,10857,0,0,0,10783,0,0,0,10724,0,0,0,10556,0,0
